data,municipio,1a_dose,2a_dose,aplicadas_dia,total_doses,doses_recebidas,perc_aplicadas,perc_vacinadas_1a_dose,perc_vacinadas_2a_dose,populacao
13/02/2021,ALVARES FLORENCE,129,,,,,,3.5625517812758902,,3621.0
13/02/2021,ALVARES MACHADO,803,,,,,,3.375509689352221,,23789.0
13/02/2021,ALVARO DE CARVALHO,113,,,,,,2.240285487708168,,5044.0
13/02/2021,ALVINLANDIA,119,,,,,,3.746851385390429,,3176.0
13/02/2021,AMERICANA,6224,,,,,,2.6660041634897924,,233458.0
13/02/2021,AMERICO BRASILIENSE,1187,,,,,,2.9495812936411303,,40243.0
13/02/2021,AMERICO DE CAMPOS,279,,,,,,4.864016736401674,,5736.0
13/02/2021,AMPARO,3063,,,,,,4.398397449704907,,69639.0
13/02/2021,ANALANDIA,167,,,,,,3.443298969072165,,4850.0
13/02/2021,ANDRADINA,1642,,,,,,2.929318157490991,,56054.0
13/02/2021,ANGATUBA,536,,,,,,2.1876658095587933,,24501.0
13/02/2021,ANHEMBI,149,,,,,,2.233213429256595,,6672.0
13/02/2021,ANHUMAS,201,,,,,,5.071915215745648,,3963.0
13/02/2021,APARECIDA,648,,,,,,1.8146685709485004,,35709.0
13/02/2021,APARECIDA D'OESTE,314,,,,,,7.599225556631171,,4132.0
13/02/2021,APIAI,563,,,,,,2.2824941214627423,,24666.0
13/02/2021,ARACARIGUAMA,402,,,,,,1.9161105815061965,,20980.0
13/02/2021,ARACATUBA,10133,,,,,,5.320025830975119,,190469.0
13/02/2021,ARACOIABA DA SERRA,797,,,,,,2.4606359987650506,,32390.0
13/02/2021,ARAMINA,140,,,,,,2.547307132459971,,5496.0
13/02/2021,ARANDU,163,,,,,,2.643957826439578,,6165.0
13/02/2021,ARAPEI,73,,,,,,2.954269526507487,,2471.0
13/02/2021,ARARAQUARA,13245,,,,,,5.81895983621682,,227618.0
13/02/2021,ARARAS,6289,,,,,,4.798675385519278,,131057.0
13/02/2021,ARCO-IRIS,245,,,,,,13.491189427312774,,1816.0
13/02/2021,AREALVA,300,,,,,,3.660322108345535,,8196.0
13/02/2021,AREIAS,118,,,,,,3.0705178246161853,,3843.0
13/02/2021,AREIOPOLIS,189,,,,,,1.7408123791102514,,10857.0
13/02/2021,ARIRANHA,435,,,,,,4.667381974248927,,9320.0
13/02/2021,ARTUR NOGUEIRA,1244,,,,,,2.3646144195860024,,52609.0
13/02/2021,ARUJA,736,,,,,,0.8201105366375468,,89744.0
