data,hospital,leitos,comum,uti,ocupação_comum,ocupação_uti,altas,óbitos,transferidos,chegando
22/05/2020,Pacaembu,200,184,16,151,3,21,0,2,12
22/05/2020,Anhembi,887,813,74,538,13,60,0,14,91
23/05/2020,Pacaembu,200,184,16,152,5,30,0,3,11
23/05/2020,Anhembi,887,813,74,524,20,79,1,8,77
24/05/2020,Pacaembu,200,184,16,148,5,16,0,4,6
24/05/2020,Anhembi,887,813,74,522,21,78,0,11,70
25/05/2020,Pacaembu,200,184,16,139,12,28,0,2,16
25/05/2020,Anhembi,887,813,74,467,23,91,1,12,55
26/05/2020,Pacaembu,200,184,16,143,5,29,0,6,14
26/05/2020,Anhembi,887,813,74,456,21,72,0,12,29
27/05/2020,Pacaembu,200,184,16,144,8,21,0,8,17
27/05/2020,Anhembi,887,813,74,457,20,64,0,12,78
28/05/2020,Pacaembu,200,184,16,128,10,26,2,7,15
28/05/2020,Anhembi,887,813,74,443,17,68,0,16,63
29/05/2020,Pacaembu,200,184,16,136,6,13,0,5,15
29/05/2020,Anhembi,887,813,74,421,13,67,0,12,60
30/05/2020,Pacaembu,200,184,16,122,8,12,0,3,3
30/05/2020,Anhembi,887,813,74,403,12,88,1,8,75
31/05/2020,Pacaembu,200,184,16,128,4,19,0,8,0
31/05/2020,Anhembi,887,813,74,410,10,47,0,13,57
01/06/2020,Pacaembu,200,184,16,100,8,23,0,6,1
01/06/2020,Anhembi,887,813,74,413,17,34,0,8,62
02/06/2020,Pacaembu,200,184,16,104,6,12,0,2,20
02/06/2020,Anhembi,887,813,74,409,13,67,0,11,82
03/06/2020,Pacaembu,200,184,16,105,7,12,0,5,2
03/06/2020,Anhembi,887,813,74,423,12,42,0,15,67
04/06/2020,Pacaembu,200,184,16,89,5,19,0,7,14
04/06/2020,Anhembi,887,813,74,397,10,82,0,8,55
05/06/2020,Pacaembu,200,184,16,85,6,18,0,4,4
05/06/2020,Anhembi,887,813,74,385,10,69,0,11,40
06/06/2020,Pacaembu,200,184,16,93,4,6,0,6,7
06/06/2020,Anhembi,887,813,74,375,13,57,0,13,62
07/06/2020,Pacaembu,200,184,16,75,5,19,0,6,3
07/06/2020,Anhembi,887,813,74,330,18,64,1,10,67
08/06/2020,Pacaembu,200,184,16,68,4,12,0,3,12
08/06/2020,Anhembi,887,813,74,315,14,46,0,10,47
09/06/2020,Pacaembu,200,184,16,79,2,12,0,5,4
09/06/2020,Anhembi,887,813,74,319,13,59,0,10,91
10/06/2020,Pacaembu,200,184,16,69,5,9,0,2,7
10/06/2020,Anhembi,887,813,74,345,20,33,0,11,78
11/06/2020,Pacaembu,200,184,16,67,3,7,0,6,4
11/06/2020,Anhembi,887,813,74,350,14,49,0,15,79
12/06/2020,Pacaembu,200,184,16,61,5,12,0,2,14
12/06/2020,Anhembi,887,813,74,326,15,60,0,12,55
13/06/2020,Pacaembu,200,184,16,54,3,15,0,4,2
13/06/2020,Anhembi,887,813,74,306,12,55,1,12,68
14/06/2020,Pacaembu,200,184,16,49,1,9,0,2,5
14/06/2020,Anhembi,887,813,74,288,13,42,0,7,33
15/06/2020,Pacaembu,200,184,16,53,1,4,0,1,3
15/06/2020,Anhembi,887,813,74,260,12,53,0,5,48
16/06/2020,Pacaembu,200,184,16,52,4,12,0,2,14
16/06/2020,Anhembi,887,813,74,257,10,48,0,11,72
17/06/2020,Pacaembu,200,184,16,47,5,9,0,3,3
17/06/2020,Anhembi,887,813,74,250,9,45,1,9,41
18/06/2020,Pacaembu,200,184,16,40,4,8,0,4,4
18/06/2020,Anhembi,887,813,74,240,8,43,0,5,37
19/06/2020,Pacaembu,200,184,16,39,2,8,0,1,0
19/06/2020,Anhembi,887,813,74,255,5,40,0,10,68
20/06/2020,Pacaembu,200,184,16,37,1,7,0,2,11
20/06/2020,Anhembi,887,813,74,246,13,42,0,5,65
21/06/2020,Pacaembu,200,184,16,35,3,3,0,0,3
21/06/2020,Anhembi,887,813,74,227,11,42,0,10,40
22/06/2020,Pacaembu,200,184,16,33,0,8,0,2,0
22/06/2020,Anhembi,887,813,74,196,14,38,0,5,32
23/06/2020,Pacaembu,200,184,16,30,3,3,0,1,0
23/06/2020,Anhembi,887,813,74,201,11,39,1,10,69
24/06/2020,Pacaembu,200,184,16,21,1,8,0,4,0
24/06/2020,Anhembi,887,813,74,207,14,31,0,4,44
25/06/2020,Pacaembu,200,184,16,14,1,4,0,3,0
25/06/2020,Anhembi,887,813,74,207,11,41,0,7,63
26/06/2020,Pacaembu,200,184,16,9,2,2,0,2,0
26/06/2020,Anhembi,887,813,74,211,14,34,0,6,69
27/06/2020,Pacaembu,200,184,16,5,2,4,0,1,0
27/06/2020,Anhembi,887,813,74,211,9,33,0,8,53
28/06/2020,Pacaembu,200,184,16,3,2,2,0,0,0
28/06/2020,Anhembi,887,813,74,206,7,24,0,5,34
29/06/2020,Pacaembu,200,184,16,0,0,2,0,3,0
29/06/2020,Anhembi,887,813,74,181,7,34,0,5,20
30/06/2020,Anhembi,887,813,74,194,9,39,1,6,45
01/07/2020,Anhembi,887,813,74,188,9,39,0,5,61
02/07/2020,Anhembi,887,813,74,189,9,32,0,6,37
03/07/2020,Anhembi,887,813,74,187,8,28,0,12,47
04/07/2020,Anhembi,887,813,74,176,6,34,0,11,38
05/07/2020,Anhembi,887,813,74,180,5,22,0,8,41
