;datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_28d;internacoes_28d_l;internacoes_28v28
1477;2020-12-29;DRS 02 Araçatuba;62,14;118,71;52,35;764041;15,54;489;365;33,97
1478;2020-12-29;DRS 03 Araraquara;47,71;121,86;39,15;991435;12,29;727;591;23,01
1479;2020-12-29;DRS 04 Baixada Santista;205,71;406,29;50,63;1831884;22,18;1351;1408;-4,05
1480;2020-12-29;DRS 05 Barretos;37,0;92,29;40,09;425090;21,71;266;164;62,2
1481;2020-12-29;DRS 06 Bauru;125,0;206,14;60,64;1741281;11,84;1157;1020;13,43
1482;2020-12-29;DRS 07 Campinas;425,0;644,14;65,98;4562125;14,12;3042;2049;48,46
1483;2020-12-29;DRS 08 Franca;28,43;79,57;35,73;696336;11,43;198;230;-13,91
1484;2020-12-29;DRS 09 Marília;109,14;157,86;69,14;1109670;14,23;927;655;41,53
1485;2020-12-29;DRS 10 Piracicaba;80,14;187,71;42,69;1539600;12,19;798;477;67,3
1486;2020-12-29;DRS 11 Presidente Prudente;67,86;84,29;80,51;752260;11,2;749;433;72,98
1487;2020-12-29;DRS 12 Registro;29,14;49,0;59,47;278754;17,58;231;175;32,0
1488;2020-12-29;DRS 13 Ribeirão Preto;83,0;155,29;53,45;1477530;10,51;892;725;23,03
1489;2020-12-29;DRS 14 São João da Boa Vista;48,57;109,71;44,27;809836;13,55;487;329;48,02
1490;2020-12-29;DRS 15 São José do Rio Preto;208,71;371,43;56,19;1570421;23,65;1750;1343;30,31
1491;2020-12-29;DRS 16 Sorocaba;171,71;246,43;69,68;2461760;10,01;1609;1311;22,73
1492;2020-12-29;DRS 17 Taubaté;220,71;412,43;53,51;2489629;16,57;2156;1360;58,53
1493;2020-12-29;Estado de São Paulo;4770,57;7769,29;61,4;44639899;17,4;38835;31502;23,28
1494;2020-12-30;DRS 01 Grande São Paulo;2813,0;4327,71;65,0;21138247;20,47;21941;19243;14,02
1495;2020-12-30;DRS 02 Araçatuba;65,71;119,0;55,22;764041;15,58;495;367;34,88
1496;2020-12-30;DRS 03 Araraquara;49,0;122,71;39,93;991435;12,38;728;605;20,33
1497;2020-12-30;DRS 04 Baixada Santista;201,43;409,14;49,23;1831884;22,33;1336;1420;-5,92
1498;2020-12-30;DRS 05 Barretos;38,14;92,29;41,33;425090;21,71;272;163;66,87
1499;2020-12-30;DRS 06 Bauru;126,29;206,14;61,26;1741281;11,84;1182;1047;12,89
1500;2020-12-30;DRS 07 Campinas;428,14;644,71;66,41;4562125;14,13;3065;2101;45,88
1501;2020-12-30;DRS 08 Franca;29,14;80,0;36,43;696336;11,49;205;228;-10,09
1502;2020-12-30;DRS 09 Marília;109,43;157,71;69,39;1109670;14,21;941;668;40,87
1503;2020-12-30;DRS 10 Piracicaba;82,14;201,57;40,75;1539600;13,09;813;485;67,63
1504;2020-12-30;DRS 11 Presidente Prudente;66,57;83,86;79,38;752260;11,15;753;459;64,05
1505;2020-12-30;DRS 12 Registro;28,29;49,0;57,73;278754;17,58;227;183;24,04
1506;2020-12-30;DRS 13 Ribeirão Preto;82,86;154,71;53,56;1477530;10,47;921;714;28,99
1507;2020-12-30;DRS 14 São João da Boa Vista;50,71;109,43;46,34;809836;13,51;493;335;47,16
1508;2020-12-30;DRS 15 São José do Rio Preto;211,29;372,14;56,78;1570421;23,7;1761;1362;29,3
1509;2020-12-30;DRS 16 Sorocaba;171,0;247,29;69,15;2461760;10,05;1618;1339;20,84
1510;2020-12-30;DRS 17 Taubaté;225,14;413,71;54,42;2489629;16,62;2157;1409;53,09
1511;2020-12-30;Estado de São Paulo;4778,29;7791,14;61,33;44639899;17,45;38908;32128;21,1
